[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;0;0.83;6.515062;0.115864;2.378984;
1;0;0.85;6.365517;0.119248;2.3756;
1;0;0.87;6.204642;0.121825;2.373023;
1;0;0.89;6.033942;0.124746;2.370102;
1;0;0.91;5.853435;0.128049;2.366799;
1;0;0.93;5.669001;0.13161;2.363237;
1;1;0.95;5.480508;0.127896;2.359604;
1;1;0.97;5.287792;0.116839;2.356114;
1;0;0.99;5.091185;0.120629;2.352325;
1;0;1.0;4.892688;0.124713;2.34824;
1;0;1.0;4.694295;0.129082;2.343871;
1;0;1.0;4.49602;0.133766;2.339187;
1;1;1.0;4.297685;0.131558;2.334413;
1;1;1.0;4.099121;0.122198;2.329812;
1;1;1.0;3.900187;0.105379;2.325686;
1;1;1.0;3.700812;0.080746;2.322394;
1;0;1.0;3.501492;0.08433;2.31881;
1;0;1.0;3.302236;0.088245;2.314895;
1;0;1.0;3.103052;0.092541;2.310599;
1;0;1.0;2.903952;0.097275;2.305865;
1;0;1.0;2.704948;0.102518;2.300622;
1;0;1.0;2.506058;0.108356;2.294784;
1;0;1.0;2.307301;0.114896;2.288244;
1;0;1.0;2.108705;0.122271;2.280869;
1;0;1.0;1.9103;0.130653;2.272487;
1;0;1.0;1.71213;0.140261;2.262879;
1;0;1.0;1.514249;0.151382;2.251758;
1;-1;1.0;1.316967;0.171976;2.238145;
1;-1;1.0;1.120736;0.203374;2.22071;
1;-1;1.0;0.926261;0.247416;2.197612;
1;-1;1.0;0.734647;0.306693;2.16626;
1;-1;1.0;0.547654;0.384904;2.122956;
1;-1;1.0;0.368101;0.487343;2.062404;
1;-1;1.0;0.200528;0.621426;1.977191;
1;-1;1.0;0.051433;0.795849;1.858618;
1;-1;1.0;2.976533;-0.190082;-1.217005;
1;-1;1.0;2.780626;-0.128422;-1.208851;
1;0;1.0;2.582364;-0.135573;-1.201701;
1;0;1.0;2.384307;-0.14356;-1.193714;
1;0;1.0;2.186493;-0.15254;-1.184734;
1;0;1.0;1.98897;-0.162707;-1.174567;
1;0;1.0;1.7918;-0.174312;-1.162962;
1;0;1.0;1.595062;-0.187679;-1.149595;
1;0;1.0;1.398864;-0.203235;-1.134039;
0;1;1.0;1.203662;-0.229156;-1.115099;
0;1;1.0;1.010121;-0.267073;-1.091145;
-1;1;0.97;0.824957;-0.318455;-1.060923;
-1;1;0.94;0.649405;-0.385818;-1.022146;
-1;1;0.91;0.48525;-0.472296;-0.971927;
-1;1;0.88;0.33504;-0.581637;-0.906778;
-1;1;0.85;0.202306;-0.717903;-0.822917;
-1;1;0.82;0.091549;-0.884444;-0.717296;
-1;1;0.79;0.007642;-1.081834;-0.589661;
-1;1;0.76;12.523854;1.360776;-2.132845;
-1;1;0.73;12.485413;1.282627;-2.143201;
-1;1;0.7;12.438526;1.193812;-2.152864;
0;1;0.7;12.382908;1.094619;-2.162124;
0;1;0.7;12.318381;0.984903;-2.170833;
1;1;0.72;12.244747;0.864986;-2.179038;
1;1;0.74;12.161779;0.734985;-2.186593;
1;1;0.76;12.069271;0.595153;-2.193502;
1;1;0.78;11.967034;0.445726;-2.199768;
1;1;0.8;11.854897;0.286928;-2.205389;
1;1;0.82;11.73271;0.118968;-2.210362;
1;1;0.84;11.600339;-0.057957;-2.21468;
1;0;0.86;11.457669;-0.054304;-2.218333;
1;0;0.88;11.304602;-0.05133;-2.221307;
1;0;0.9;11.141058;-0.049053;-2.223585;
1;0;0.92;10.966975;-0.047495;-2.225142;
1;0;0.94;10.782311;-0.046685;-2.225953;
1;0;0.96;10.591089;-0.046677;-2.225961;
1;0;0.98;10.395306;-0.047479;-2.225158;
1;0;1.0;10.195536;-0.048327;-2.224311;
1;0;1.0;9.995773;-0.049206;-2.223432;
1;0;1.0;9.79602;-0.050117;-2.222521;
1;-1;1.0;9.596209;-0.043949;-2.221707;
1;-1;1.0;9.396301;-0.030564;-2.22113;
1;-1;1.0;9.196311;-0.009808;-2.220941;
1;-1;1.0;8.996344;0.018479;-2.221304;
1;0;1.0;8.796379;0.018857;-2.221681;
1;0;1.0;8.596415;0.01925;-2.222074;
1;0;1.0;8.396453;0.019659;-2.222484;
1;0;1.0;8.196492;0.020087;-2.222911;
1;0;1.0;7.996534;0.020533;-2.223358;
1;0;1.0;7.796577;0.021;-2.223825;
1;0;1.0;7.596622;0.021489;-2.224313;
1;0;1.0;7.396669;0.022001;-2.224825;
1;0;1.0;7.196719;0.022537;-2.225362;
1;0;1.0;6.996771;0.023101;-2.225925;
1;0;1.0;6.796826;0.023693;-2.226518;
1;0;1.0;6.596883;0.024317;-2.227142;
1;0;1.0;6.396944;0.024975;-2.227799;
